product_id,title,brand,category,subcategory,price,original_price,rating,review_count,ram,storage,processor,gpu,display,battery_life,os,weight,use_cases,features,description,image_url
LAP_001,Acer Nitro V 15 Gaming Laptop (13th Gen Intel Core i5-13420H / 16GB DDR5 / 512GB Gen4 SSD / RTX 3050 6GB / 144Hz FHD / Win 11),Acer,Laptop,Gaming & Machine Learning,66990,84999,4.4,1850,16GB DDR5,512GB NVMe SSD,"Intel Core i5-13420H (8 Cores, up to 4.6GHz)",NVIDIA GeForce RTX 3050 6GB GDDR6,15.6 inch FHD 144Hz IPS ComfyView,6 hours (57Whr),Windows 11 Home,2.1 kg,"machine_learning, python, deep_learning, data_science, gaming, college_work, engineering, coding","Dedicated 6GB NVIDIA GPU, 16GB DDR5 RAM, dual fan cooling system, Thunderbolt 4, backlit keyboard, Wi-Fi 6","High-performance laptop engineered for machine learning, Python programming, engineering coursework, and modern gaming. Powered by 13th Gen Intel i5 and dedicated 6GB RTX 3050 GPU for CUDA acceleration, PyTorch, and TensorFlow workflows.",https://images.unsplash.com/photo-1603302576837-37561b2e2302?w=500&q=80
LAP_002,"Lenovo LOQ 15 (AMD Ryzen 5 7640HS / 16GB DDR5 / 512GB SSD / RTX 3050 6GB 95W TGP / 15.6"" FHD 144Hz 100% sRGB / Win 11)",Lenovo,Laptop,Gaming & AI / Development,68990,89990,4.5,2100,16GB DDR5,512GB NVMe SSD,"AMD Ryzen 5 7640HS (6 Cores, 12 Threads, up to 5.0GHz)",NVIDIA GeForce RTX 3050 6GB (95W TGP),15.6 inch FHD 144Hz 100% sRGB IPS 300 nits,"5.5 hours (60Whr, Rapid Charge Pro)",Windows 11 Home,2.4 kg,"machine_learning, python, data_science, college_work, coding, gaming, video_editing","Dedicated high-TGP RTX 3050 GPU, 100% sRGB vibrant screen, LA1 AI chip, full-size RGB keyboard, military-grade durability","Powerful machine for AI/ML students, developers, and creators. Features Lenovo LA1 AI chip optimization, high-power 95W RTX 3050 for rapid neural network training and smooth Python simulation, paired with color-accurate 100% sRGB display.",https://images.unsplash.com/photo-1588872657578-7efd1f1555ed?w=500&q=80
LAP_003,"HP Victus 15 (13th Gen Intel Core i5-13420H / 16GB DDR4 / 512GB SSD / RTX 3050 4GB / 15.6"" FHD 144Hz / Win 11 / B&O Audio)",HP,Laptop,Gaming & College Work,62990,79999,4.3,1450,16GB DDR4,512GB NVMe SSD,Intel Core i5-13420H,NVIDIA GeForce RTX 3050 4GB,15.6 inch FHD 144Hz 250 nits IPS,6.5 hours (70Whr),Windows 11 Home,2.29 kg,"python, college_work, coding, machine_learning, gaming, student_projects","Bang & Olufsen audio, OMEN Gaming Hub, fast charging 50% in 30 mins, backlit keyboard, FHD camera with privacy shutter","Balanced college and engineering laptop featuring 13th Gen Core i5 with 16GB RAM and NVIDIA RTX 3050. Handles Python programming, Jupyter notebooks, local model inference, and college projects with solid thermals and long battery life.",https://images.unsplash.com/photo-1593642632823-8f785ba67e45?w=500&q=80
LAP_004,ASUS TUF Gaming A15 (AMD Ryzen 7 7735HS / 16GB DDR5 / 512GB SSD / RTX 4050 6GB 140W / 144Hz FHD / 90Whr Battery),ASUS,Laptop,High Performance & Heavy AI,79990,102990,4.6,3200,16GB DDR5,512GB NVMe SSD,"AMD Ryzen 7 7735HS (8 Cores, 16 Threads)","NVIDIA GeForce RTX 4050 6GB (140W Max TGP, MUX Switch)",15.6 inch FHD 144Hz Adaptive-Sync IPS,8.5 hours (Massive 90Whr Battery),Windows 11 Home,2.2 kg,"deep_learning, machine_learning, heavy_gaming, python, data_science, 3d_rendering, engineering","Top-tier 140W RTX 4050 with Ada Lovelace Tensor Cores, huge 90Whr battery, MUX switch, military MIL-STD-810H durability","Powerhouse for deep learning enthusiasts and high-performance computing. Features the NVIDIA RTX 4050 GPU with 4th Gen Tensor Cores for massive PyTorch speedups, complemented by a massive 90Whr battery that lasts through an entire college day.",https://images.unsplash.com/photo-1541807084-5c52b6b3adef?w=500&q=80
LAP_005,Dell G15 5530 (13th Gen Intel Core i5-13450HX / 16GB DDR5 / 1TB SSD / RTX 3050 6GB / 120Hz Display / Win 11),Dell,Laptop,Engineering & Development,71990,93990,4.3,980,16GB DDR5,1TB NVMe SSD,"Intel Core i5-13450HX (10 Cores, up to 4.6GHz)",NVIDIA GeForce RTX 3050 6GB,15.6 inch FHD 120Hz 250 nits Anti-Glare,5 hours (56Whr),Windows 11 Home,2.6 kg,"machine_learning, python, heavy_multitasking, college_work, engineering_simulations, coding","Alienware-inspired thermal design, 1TB massive SSD storage, 10-core HX processor, Game Shift key for instant fan boost","Engineered with Dell Alienware cooling architecture and a potent 10-core i5-13450HX processor. With 1TB of NVMe SSD storage out of the box, it offers abundant space for massive dataset storage, ML model checkpoints, and engineering CAD tools.",https://images.unsplash.com/photo-1517336714731-489689fd1ca8?w=500&q=80
LAP_006,"ASUS Vivobook 16X (AMD Ryzen 5 5600H / 16GB DDR4 / 512GB SSD / RTX 2050 4GB / 16"" WUXGA 16:10 / Thin & Light / 1.8kg)",ASUS,Laptop,Creator & Coding Thin & Light,53990,72990,4.3,1650,16GB DDR4,512GB NVMe SSD,"AMD Ryzen 5 5600H (6 Cores, 12 Threads)",NVIDIA GeForce RTX 2050 4GB,16.0 inch WUXGA (1920x1200) 16:10 aspect ratio 300 nits,6.5 hours (50Whr),Windows 11 Home,1.8 kg,"python, machine_learning_basics, coding, college_work, lightweight, web_development, student","Lightweight 1.8kg portable design, tall 16:10 productivity display for coding, dedicated NVIDIA GPU, fingerprint sensor, webcam shield",Ultra-portable productivity laptop with dedicated NVIDIA graphics under 55000. Features a taller 16:10 display that shows more lines of code in VS Code or Jupyter. Perfect for college students needing both portability and GPU acceleration.,https://images.unsplash.com/photo-1525547719571-a2d4ac8945e2?w=500&q=80
LAP_007,"Acer Aspire 7 (12th Gen Intel Core i5-12450H / 16GB RAM / 512GB SSD / RTX 2050 4GB / 15.6"" FHD 144Hz / Win 11 / 2.1kg)",Acer,Laptop,Budget Performance & Programming,50990,68999,4.2,2750,16GB DDR4,512GB NVMe SSD,Intel Core i5-12450H (8 Cores),NVIDIA GeForce RTX 2050 4GB GDDR6,15.6 inch FHD 144Hz IPS,5.5 hours (50Whr),Windows 11 Home,2.1 kg,"python, machine_learning, coding, student, college_work, budget_gpu","Most affordable laptop with dedicated NVIDIA RTX graphics, dual exhaust cooling, upgradable RAM up to 32GB, Wi-Fi 6","Unmatched value-for-money laptop for computer science students on a tight budget. Provides an Intel H-series processor and NVIDIA RTX GPU under 52k, making Python, SciKit-Learn, and introductory neural networks readily accessible.",https://images.unsplash.com/photo-1531297484001-80022131f5a1?w=500&q=80
LAP_008,"Lenovo IdeaPad Slim 3 (13th Gen Intel Core i5-1335U / 16GB LPDDR5 / 512GB SSD / Intel Iris Xe / 15.6"" FHD IPS / 1.62kg)",Lenovo,Laptop,Productivity & College Thin & Light,54990,74990,4.3,1820,16GB LPDDR5,512GB NVMe SSD,"Intel Core i5-1335U (10 Cores, up to 4.6GHz)",Intel Iris Xe Graphics (Integrated),15.6 inch FHD 300 nits IPS Anti-Glare,"8 hours (47Whr, Rapid Charge)",Windows 11 Home,1.62 kg,"python, web_development, coding, college_work, ms_office, lightweight, travel, browsing","Slim 1.62kg featherweight build, 16GB high-speed LPDDR5 RAM, 8-hour battery life, Dolby Audio, camera privacy shutter","Sleek and dependable everyday ultrabook for software engineering, web development, and daily campus lectures. Boasts 16GB RAM for smooth multitasking across browser tabs, IDEs, and databases with all-day battery life.",https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=500&q=80
LAP_009,"HP 15s (12th Gen Intel Core i5-1235U / 16GB DDR4 / 512GB SSD / Intel Iris Xe / 15.6"" FHD / Backlit KB / 1.69kg)",HP,Laptop,College & Office Work,51990,66990,4.2,2900,16GB DDR4,512GB NVMe SSD,Intel Core i5-1235U,Intel Iris Xe Graphics,15.6 inch FHD micro-edge Anti-Glare,7 hours (41Whr),Windows 11 Home,1.69 kg,"college_work, python_basics, coding, office, presentations, lightweight, student","HP Fast Charge (50% in 45 min), dual speakers, backlit keyboard with numeric keypad, Alexa built-in","Reliable, high-rated companion for college assignments, data analysis in Pandas, and general programming. Lightweight build fits effortlessly into campus backpacks while offering comfortable keyboard ergonomics.",https://images.unsplash.com/photo-1588872657578-7efd1f1555ed?w=500&q=80
LAP_010,"Acer Swift Go 14 OLED (Intel Core Ultra 5 125H / 16GB LPDDR5X / 512GB SSD / Intel Arc Graphics / 14"" 2.8K OLED 90Hz / 1.3kg)",Acer,Laptop,Premium AI PC Ultrabook,74990,99999,4.6,860,16GB LPDDR5X,512GB Gen4 NVMe SSD,"Intel Core Ultra 5 125H (14 Cores, Built-in Intel AI NPU)",Intel Arc Graphics (8 Xe-cores),14.0 inch 2.8K (2880x1800) OLED 90Hz 100% DCI-P3 400 nits,10.5 hours (65Whr),Windows 11 Home,1.32 kg,"ai_development, python, coding, lightweight, college_work, content_creation, mobility","Dedicated Intel AI Boost NPU for local AI workloads, stunning 2.8K OLED display, ultra-light 1.32kg aluminum chassis, 10+ hour battery",Cutting-edge AI PC with built-in Neural Processing Unit (NPU) for on-device generative AI and machine learning inferences. Equipped with a breathtaking 2.8K OLED display and 10+ hour battery life in an ultra-portable 1.3kg form factor.,https://images.unsplash.com/photo-1544717305-2782549b5136?w=500&q=80
